rating_system,credit_code,credit_name,stage,submittal_code,submittal_name,evidence_type,mandatory_flag,expected_documents,validation_requirements,reviewer_role,clarification_risk,replay_dependency,derived_state_impact,scoring_dependency,cross_credit_usage,queue_priority,approval_requirements,rejection_conditions,version_sensitive,lineage_required
IGBC Green Interiors V1,EDA C1,EDA Credit 1,CONSTRUCTION,SUB-EDA C1,Submittal for EDA C1,Narrative; Drawing; Calculation & Tables; Pic/Video,False,1. Eco Design/Credit 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EDA C2,EDA Credit 2,CONSTRUCTION,SUB-EDA C2,Submittal for EDA C2,Narrative; Pic/Video,False,1. Eco Design/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EDA C3,EDA Credit 3,CONSTRUCTION,SUB-EDA C3,Submittal for EDA C3,(none flagged required),False,1. Eco Design/Credit 3,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EDA C4,EDA Credit 4,CONSTRUCTION,SUB-EDA C4,Submittal for EDA C4,Narrative; Certificate/Declaration,False,1. Eco Design/Credit 4,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EDA C5,EDA Credit 5,CONSTRUCTION,SUB-EDA C5,Submittal for EDA C5,Narrative; Drawing; Pic/Video,False,1. Eco Design/Credit 5,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE C1,EE Credit 1,CONSTRUCTION,SUB-EE C1,Submittal for EE C1,Narrative; Tech Spec; Calculation & Tables; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 1,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE C2,EE Credit 2,CONSTRUCTION,SUB-EE C2,Submittal for EE C2,Narrative; Tech Spec; Certificate/Declaration; Drawing; Calculation & Tables; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 2,Presence of mandatory evidence; Lineage check; Naming normalization,L1,MED,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE C3,EE Credit 3,CONSTRUCTION,SUB-EE C3,Submittal for EE C3,Narrative; Tech Spec; Drawing; Calculation & Tables; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 3,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE C4,EE Credit 4,CONSTRUCTION,SUB-EE C4,Submittal for EE C4,Narrative; Tech Spec; Drawing; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 4,Presence of mandatory evidence; Lineage check; Naming normalization,L1,LOW,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
IGBC Green Interiors V1,EE C5,EE Credit 5,CONSTRUCTION,SUB-EE C5,Submittal for EE C5,Narrative; Tech Spec; Drawing; Invoice; Pic/Video,False,3.Energy Efficiency/Credit 5,Presence of mandatory evidence; Lineage check; Naming normalization,L1,HIGH,TRUE,Scoring; Certification Level,Points assigned based on evidence,FALSE,NORMAL,All mandatory evidence present and valid,Missing mandatory evidence; Invalid document type,TRUE,TRUE
